userid,pwd,email,displayName
kgallagher2,securepasswordlol,k.gallagher@fct.unl.pt,"Kevin Gallagher"
sduarte,F1n$nVSQ)7js_~w,smd@fct.unl.pt,"Sérgio Duarte"
sDent,riZv02g5@KkK&pq,s.dent@campus.fct.unl.pt,"Stew Dent"
nqxcgcicnzdtmrf,81511067495,nqxcgcicnzdtmrf@campus.fct.unl.pt,"nqxcgcicnzdtmrf"
gzmvmjzapstursn,11848775677,gzmvmjzapstursn@campus.fct.unl.pt,"gzmvmjzapstursn"
vopkyskpobomxqu,126731268083,vopkyskpobomxqu@campus.fct.unl.pt,"vopkyskpobomxqu"
hjesyllynhkbxts,38676810773,hjesyllynhkbxts@campus.fct.unl.pt,"hjesyllynhkbxts"
nkqkhhkbwmobuip,7911457104100,nkqkhhkbwmobuip@campus.fct.unl.pt,"nkqkhhkbwmobuip"
rcwcuanikvpdkkq,35531208254,rcwcuanikvpdkkq@campus.fct.unl.pt,"rcwcuanikvpdkkq"
qeouyxqpawbugya,851231243764,qeouyxqpawbugya@campus.fct.unl.pt,"qeouyxqpawbugya"
rtitbnfqccjqnwu,67108359389,rtitbnfqccjqnwu@campus.fct.unl.pt,"rtitbnfqccjqnwu"
abnqgygszhpyeaa,3746569959,abnqgygszhpyeaa@campus.fct.unl.pt,"abnqgygszhpyeaa"
zrzkuxwmftafnnp,11337506497,zrzkuxwmftafnnp@campus.fct.unl.pt,"zrzkuxwmftafnnp"
hlpsetxtddffrbx,58881247061,hlpsetxtddffrbx@campus.fct.unl.pt,"hlpsetxtddffrbx"
qdktxfntqtswtiq,105961208333,qdktxfntqtswtiq@campus.fct.unl.pt,"qdktxfntqtswtiq"
qnsgvetirzoiuez,3485897396,qnsgvetirzoiuez@campus.fct.unl.pt,"qnsgvetirzoiuez"
bzjwhzfnmromdws,4599444058,bzjwhzfnmromdws@campus.fct.unl.pt,"bzjwhzfnmromdws"
pxhcbgiroitpsfl,39629011566,pxhcbgiroitpsfl@campus.fct.unl.pt,"pxhcbgiroitpsfl"
viqzkphcgdwmyty,379693116117,viqzkphcgdwmyty@campus.fct.unl.pt,"viqzkphcgdwmyty"
vgmauopqxhazdam,1213511881113,vgmauopqxhazdam@campus.fct.unl.pt,"vgmauopqxhazdam"
bqxbnzvkbezrimw,1076310571101,bqxbnzvkbezrimw@campus.fct.unl.pt,"bqxbnzvkbezrimw"
afhtmzhjkghwrqk,4989537358,afhtmzhjkghwrqk@campus.fct.unl.pt,"afhtmzhjkghwrqk"
blkvulpbcaxmshp,685310641115,blkvulpbcaxmshp@campus.fct.unl.pt,"blkvulpbcaxmshp"
zavjoeyxsuaunih,43105558758,zavjoeyxsuaunih@campus.fct.unl.pt,"zavjoeyxsuaunih"
hgezlxonthqxzgt,125423410175,hgezlxonthqxzgt@campus.fct.unl.pt,"hgezlxonthqxzgt"
bgftehhkqyjmrln,5611710010897,bgftehhkqyjmrln@campus.fct.unl.pt,"bgftehhkqyjmrln"
yfipvegmcoestpz,6246376993,yfipvegmcoestpz@campus.fct.unl.pt,"yfipvegmcoestpz"
cjzwgjdalvtdshx,81483712258,cjzwgjdalvtdshx@campus.fct.unl.pt,"cjzwgjdalvtdshx"
hpwtbvpuvuqrowz,42759354122,hpwtbvpuvuqrowz@campus.fct.unl.pt,"hpwtbvpuvuqrowz"
pydtjgntykpvtwy,5769989562,pydtjgntykpvtwy@campus.fct.unl.pt,"pydtjgntykpvtwy"
vrgoqqytvfgeqar,49526740122,vrgoqqytvfgeqar@campus.fct.unl.pt,"vrgoqqytvfgeqar"
cfwicyoxujtmjdn,109861159698,cfwicyoxujtmjdn@campus.fct.unl.pt,"cfwicyoxujtmjdn"
zpadbwakmoyauxe,111611158564,zpadbwakmoyauxe@campus.fct.unl.pt,"zpadbwakmoyauxe"
rfvfbmqqvfozjev,70638111772,rfvfbmqqvfozjev@campus.fct.unl.pt,"rfvfbmqqvfozjev"
bjmblnqnqtygtnj,908212310046,bjmblnqnqtygtnj@campus.fct.unl.pt,"bjmblnqnqtygtnj"
dqvbgdnhvpqjpsr,97801196064,dqvbgdnhvpqjpsr@campus.fct.unl.pt,"dqvbgdnhvpqjpsr"
bdkjxwxjczlixpc,111971104897,bdkjxwxjczlixpc@campus.fct.unl.pt,"bdkjxwxjczlixpc"
iohdcsdgcsnallu,1097271116110,iohdcsdgcsnallu@campus.fct.unl.pt,"iohdcsdgcsnallu"
bulhwqurquwjqsh,341256310278,bulhwqurquwjqsh@campus.fct.unl.pt,"bulhwqurquwjqsh"
wwtbynpmsesiyqj,421174911874,wwtbynpmsesiyqj@campus.fct.unl.pt,"wwtbynpmsesiyqj"
cpcqpeqeifejdxu,98458510967,cpcqpeqeifejdxu@campus.fct.unl.pt,"cpcqpeqeifejdxu"
upazznamanppthr,1241211149958,upazznamanppthr@campus.fct.unl.pt,"upazznamanppthr"
muerhgjevrqegfu,63106849291,muerhgjevrqegfu@campus.fct.unl.pt,"muerhgjevrqegfu"
rfxntgchkrrogdb,63334452103,rfxntgchkrrogdb@campus.fct.unl.pt,"rfxntgchkrrogdb"
goooheskatjvemc,90111124100106,goooheskatjvemc@campus.fct.unl.pt,"goooheskatjvemc"
grmejhvsyfixtph,11556736772,grmejhvsyfixtph@campus.fct.unl.pt,"grmejhvsyfixtph"
rabvccsvfdtwhax,767210163111,rabvccsvfdtwhax@campus.fct.unl.pt,"rabvccsvfdtwhax"
cgvscbwdoslscgz,111536411233,cgvscbwdoslscgz@campus.fct.unl.pt,"cgvscbwdoslscgz"
ybtxrtgncgctapx,33584610880,ybtxrtgncgctapx@campus.fct.unl.pt,"ybtxrtgncgctapx"
aydwzjumscpwuwh,891231015237,aydwzjumscpwuwh@campus.fct.unl.pt,"aydwzjumscpwuwh"
gvoncmeplvfheti,7381999256,gvoncmeplvfheti@campus.fct.unl.pt,"gvoncmeplvfheti"
mojppbazhqhkgth,988239108114,mojppbazhqhkgth@campus.fct.unl.pt,"mojppbazhqhkgth"
xjakdryjixizxyx,394011810177,xjakdryjixizxyx@campus.fct.unl.pt,"xjakdryjixizxyx"
phpusfstkvmictk,988312110593,phpusfstkvmictk@campus.fct.unl.pt,"phpusfstkvmictk"
ldgtnswogkommxp,12385758193,ldgtnswogkommxp@campus.fct.unl.pt,"ldgtnswogkommxp"
zjhibpoyycqhdcx,10479548252,zjhibpoyycqhdcx@campus.fct.unl.pt,"zjhibpoyycqhdcx"
uhfwclzglgpmvjn,6994399765,uhfwclzglgpmvjn@campus.fct.unl.pt,"uhfwclzglgpmvjn"
ygdfucypupaedwe,663771100115,ygdfucypupaedwe@campus.fct.unl.pt,"ygdfucypupaedwe"
rjghsroiueuykte,124377958108,rjghsroiueuykte@campus.fct.unl.pt,"rjghsroiueuykte"
dsfaqxdyzfgfpvn,1161041219361,dsfaqxdyzfgfpvn@campus.fct.unl.pt,"dsfaqxdyzfgfpvn"
yyoqgvezixfrdrj,65126954649,yyoqgvezixfrdrj@campus.fct.unl.pt,"yyoqgvezixfrdrj"
fbnrylxdfdcriey,46599984111,fbnrylxdfdcriey@campus.fct.unl.pt,"fbnrylxdfdcriey"
cfbzoadshzeehve,43546512345,cfbzoadshzeehve@campus.fct.unl.pt,"cfbzoadshzeehve"
mkdwuchcqjyngdh,10912584122105,mkdwuchcqjyngdh@campus.fct.unl.pt,"mkdwuchcqjyngdh"
davskvabhicccur,55698041124,davskvabhicccur@campus.fct.unl.pt,"davskvabhicccur"
nnwhdyvrjgjuriw,5744628368,nnwhdyvrjgjuriw@campus.fct.unl.pt,"nnwhdyvrjgjuriw"
bvoaoemfomrrpwi,5210610869103,bvoaoemfomrrpwi@campus.fct.unl.pt,"bvoaoemfomrrpwi"
zibqfdlycicnsaa,9573445433,zibqfdlycicnsaa@campus.fct.unl.pt,"zibqfdlycicnsaa"
erkiknhrfshzpjc,6072738475,erkiknhrfshzpjc@campus.fct.unl.pt,"erkiknhrfshzpjc"
vipyrfkjrzaljfz,85108594263,vipyrfkjrzaljfz@campus.fct.unl.pt,"vipyrfkjrzaljfz"
dwoptflmltuncpf,399711950124,dwoptflmltuncpf@campus.fct.unl.pt,"dwoptflmltuncpf"
adiwxptepvsuoxm,63539967115,adiwxptepvsuoxm@campus.fct.unl.pt,"adiwxptepvsuoxm"
ocsysruvqljybfu,8910710111547,ocsysruvqljybfu@campus.fct.unl.pt,"ocsysruvqljybfu"
ktueyqadnofrujz,46106378533,ktueyqadnofrujz@campus.fct.unl.pt,"ktueyqadnofrujz"
mxpkmpfxatsggnb,87125975649,mxpkmpfxatsggnb@campus.fct.unl.pt,"mxpkmpfxatsggnb"
hmgmsomaehgmxup,123357410249,hmgmsomaehgmxup@campus.fct.unl.pt,"hmgmsomaehgmxup"
munwvhlfftnvwmh,81676910464,munwvhlfftnvwmh@campus.fct.unl.pt,"munwvhlfftnvwmh"
raakjuygyeamuiv,98601076350,raakjuygyeamuiv@campus.fct.unl.pt,"raakjuygyeamuiv"
eymthnrwcelpnzj,121738555121,eymthnrwcelpnzj@campus.fct.unl.pt,"eymthnrwcelpnzj"
qvxwcqwfvvslxjp,35851103865,qvxwcqwfvvslxjp@campus.fct.unl.pt,"qvxwcqwfvvslxjp"
geuijjbkbchwash,5060486251,geuijjbkbchwash@campus.fct.unl.pt,"geuijjbkbchwash"
jsliztyvaijtzea,4093944348,jsliztyvaijtzea@campus.fct.unl.pt,"jsliztyvaijtzea"
feuorsnxusjqssg,651151156336,feuorsnxusjqssg@campus.fct.unl.pt,"feuorsnxusjqssg"
hsdqpibutkdezyc,86651254382,hsdqpibutkdezyc@campus.fct.unl.pt,"hsdqpibutkdezyc"
butxgsufysvhnsl,601157838121,butxgsufysvhnsl@campus.fct.unl.pt,"butxgsufysvhnsl"
kmdfdayygacmuby,58103487144,kmdfdayygacmuby@campus.fct.unl.pt,"kmdfdayygacmuby"
obrfpanzwthdzux,126102586678,obrfpanzwthdzux@campus.fct.unl.pt,"obrfpanzwthdzux"
vlqsvwfctpiekwc,120739291103,vlqsvwfctpiekwc@campus.fct.unl.pt,"vlqsvwfctpiekwc"
dvvyzpofkyxuzac,1111121174442,dvvyzpofkyxuzac@campus.fct.unl.pt,"dvvyzpofkyxuzac"
cxnaqpxnfevlobp,916112346105,cxnaqpxnfevlobp@campus.fct.unl.pt,"cxnaqpxnfevlobp"
sfpiuubhveapdct,4611711861108,sfpiuubhveapdct@campus.fct.unl.pt,"sfpiuubhveapdct"
ltbycplsadbthjq,56698562100,ltbycplsadbthjq@campus.fct.unl.pt,"ltbycplsadbthjq"
cjlzlvvgzbmqtkq,7762593583,cjlzlvvgzbmqtkq@campus.fct.unl.pt,"cjlzlvvgzbmqtkq"
czlzqigbhhudwje,123394798113,czlzqigbhhudwje@campus.fct.unl.pt,"czlzqigbhhudwje"
wcbfibcoqmlnboq,873410210352,wcbfibcoqmlnboq@campus.fct.unl.pt,"wcbfibcoqmlnboq"
fmkxmndszagqoes,8344959778,fmkxmndszagqoes@campus.fct.unl.pt,"fmkxmndszagqoes"
blppeuszaebtuwg,3756753784,blppeuszaebtuwg@campus.fct.unl.pt,"blppeuszaebtuwg"
bxswxefxjgkohpz,53114825933,bxswxefxjgkohpz@campus.fct.unl.pt,"bxswxefxjgkohpz"
dwnwzrlqmvpoqdy,10141714156,dwnwzrlqmvpoqdy@campus.fct.unl.pt,"dwnwzrlqmvpoqdy"
iyrzmivhwixukjk,85847712196,iyrzmivhwixukjk@campus.fct.unl.pt,"iyrzmivhwixukjk"
scbbgombgzcorcd,9733528096,scbbgombgzcorcd@campus.fct.unl.pt,"scbbgombgzcorcd"
